Date,Year,Peak Chart Position,Artist - Source Database,Artist - Modified,Title - Source Database,Title - Modified,Duration,Original Record Label & Catalog No.,Suggested Filename,Concatenate,Eliminate Hyphens,Substitute Google Comma Char.,Eliminate Ampersand Phrases,,,Eliminate Parentheticals,,Search Formula
02/10/90,1990,2,Calloway,Calloway,I Wanna Be Rich,I Wanna Be Rich,4:25,Solar 74005,Calloway--I Wanna Be Rich (1990),%22Calloway%22+%22I Wanna Be Rich%22,%22Calloway%22+%22I Wanna Be Rich%22,%22Calloway%22+%22I Wanna Be Rich%22,,,%22Calloway%22+%22I Wanna Be Rich%22,,,https://www.google.com/search?q=%22Calloway%22+%22I Wanna Be Rich%22&ie=utf-8&oe=utf-8
02/10/90,1990,11,Linda Ronstadt & Aaron Neville,Linda Ronstadt & Aaron Neville,All My Life,All My Life,3:18,Elektra 4-64987,Linda Ronstadt & Aaron Neville--All My Life (1990),%22Linda Ronstadt & Aaron Neville%22+%22All My Life%22,%22Linda Ronstadt & Aaron Neville%22+%22All My Life%22,%22Linda Ronstadt & Aaron Neville%22+%22All My Life%22,19,34,%22Linda Ronstadt%22+%22All My Life%22,,,https://www.google.com/search?q=%22Linda Ronstadt%22+%22All My Life%22&ie=utf-8&oe=utf-8
02/10/90,1990,20,Cher,Cher,Heart Of Stone,Heart of Stone,3:50,Geffen 19953,Cher--Heart of Stone (1990),%22Cher%22+%22Heart of Stone%22,%22Cher%22+%22Heart of Stone%22,%22Cher%22+%22Heart of Stone%22,,,%22Cher%22+%22Heart of Stone%22,,,https://www.google.com/search?q=%22Cher%22+%22Heart of Stone%22&ie=utf-8&oe=utf-8
02/10/90,1990,50,"Rolling Stones, The",Rolling Stones,Almost Hear You Sigh,Almost Hear You Sigh,4:24,Columbia 38-73093,Rolling Stones--Almost Hear You Sigh (1990),%22Rolling Stones%22+%22Almost Hear You Sigh%22,%22Rolling Stones%22+%22Almost Hear You Sigh%22,%22Rolling Stones%22+%22Almost Hear You Sigh%22,,,%22Rolling Stones%22+%22Almost Hear You Sigh%22,,,https://www.google.com/search?q=%22Rolling Stones%22+%22Almost Hear You Sigh%22&ie=utf-8&oe=utf-8
02/10/90,1990,82,John Farnham,John Farnham,You’re The Voice,You're the Voice,4:27,RCA 9086,John Farnham--You're the Voice (1990),%22John Farnham%22+%22You're the Voice%22,%22John Farnham%22+%22You%27re the Voice%22,%22John Farnham%22+%22You%27re the Voice%22,,,%22John Farnham%22+%22You%27re the Voice%22,,,https://www.google.com/search?q=%22John Farnham%22+%22You%27re the Voice%22&ie=utf-8&oe=utf-8
02/17/90,1990,1,Tommy Page,Tommy Page,I’ll Be Your Everything,I'll Be Your Everything,4:08,Sire 7-19959,Tommy Page--I'll Be Your Everything (1990),%22Tommy Page%22+%22I'll Be Your Everything%22,%22Tommy Page%22+%22I%27ll Be Your Everything%22,%22Tommy Page%22+%22I%27ll Be Your Everything%22,,,%22Tommy Page%22+%22I%27ll Be Your Everything%22,,,https://www.google.com/search?q=%22Tommy Page%22+%22I%27ll Be Your Everything%22&ie=utf-8&oe=utf-8
02/17/90,1990,5,Linear,Linear,Sending All My Love,Sending All My Love,3:49,Atlantic 4-87961,Linear--Sending All My Love (1990),%22Linear%22+%22Sending All My Love%22,%22Linear%22+%22Sending All My Love%22,%22Linear%22+%22Sending All My Love%22,,,%22Linear%22+%22Sending All My Love%22,,,https://www.google.com/search?q=%22Linear%22+%22Sending All My Love%22&ie=utf-8&oe=utf-8
02/17/90,1990,21,Don Henley,Don Henley,The Heart Of The Matter,The Heart of the Matter,3:52,Geffen 4-19898,Don Henley--The Heart of the Matter (1990),%22Don Henley%22+%22The Heart of the Matter%22,%22Don Henley%22+%22The Heart of the Matter%22,%22Don Henley%22+%22The Heart of the Matter%22,,,%22Don Henley%22+%22The Heart of the Matter%22,,,https://www.google.com/search?q=%22Don Henley%22+%22The Heart of the Matter%22&ie=utf-8&oe=utf-8
02/17/90,1990,40,Lou Gramm,Lou Gramm,True Blue Love,True Blue Love,4:48,Atlantic 88768,Lou Gramm--True Blue Love (1990),%22Lou Gramm%22+%22True Blue Love%22,%22Lou Gramm%22+%22True Blue Love%22,%22Lou Gramm%22+%22True Blue Love%22,,,%22Lou Gramm%22+%22True Blue Love%22,,,https://www.google.com/search?q=%22Lou Gramm%22+%22True Blue Love%22&ie=utf-8&oe=utf-8
02/17/90,1990,47,Midnight Oil,Midnight Oil,Blue Sky Mine,Blue Sky Mine,4:12,Columbia 38-73250,Midnight Oil--Blue Sky Mine (1990),%22Midnight Oil%22+%22Blue Sky Mine%22,%22Midnight Oil%22+%22Blue Sky Mine%22,%22Midnight Oil%22+%22Blue Sky Mine%22,,,%22Midnight Oil%22+%22Blue Sky Mine%22,,,https://www.google.com/search?q=%22Midnight Oil%22+%22Blue Sky Mine%22&ie=utf-8&oe=utf-8
